adm4Pcode,adm4NameLa,adm3NameLa,adm2NameLa,adm1NameLa,Population,codeName_3,POINT_X,POINT_Y
UKR4424855100,Stanytsia Luhanska,Stanychno-Luhanska,Stanychno-Luhanskyi,Luhanska,13734,urban type village,39.47505462,48.65530308
UKR4423355300,Bilolutsk,Bilolutska,Novopskovskyi,Luhanska,4017,urban type village,39.01550155,49.69862132
UKR4422255500,Bilorichenskyi,Bilorichenska,Lutuhynskyi,Luhanska,3334,urban type village,39.07447533,48.44840676
UKR4424883001,Krasna Talivka,Krasnotalivska,Stanychno-Luhanskyi,Luhanska,1074,village,39.84470228,48.85058109
UKR4425182001,Lyman,Lymanska,Starobilskyi,Luhanska,1962,village,38.9463275,49.33246426
UKR4421486601,Makariv Yar,Parkhomenkivska,Sorokynskyi,Luhanska,1491,village,39.71777562,48.57824695
UKR4424082501,Kuzemivka,Kuzemivska,Svativskyi,Luhanska,689,village,37.985851,49.5155195
UKR4423885201,Troitske,Troitska,Popasnianskyi,Luhanska,1415,village,38.390059,48.52985154
UKR4424255300,Krynychne,Biriukivska,Dovzhanskyi,Luhanska,4027,urban type village,39.73944952,47.95422155
UKR4411446200,Teple,Krasnodonska,Krasnodonska,Luhanska,5364,urban type village,39.55940331,48.30815595
UKR4421680701,Bulhakivka,Bulhakivska,Kreminskyi,Luhanska,512,village,38.55768475,49.18376492
UKR4420982301,Bunchukivka,Bilokurakynska,Bilokurakynskyi,Luhanska,417,village,38.65860194,49.48632615
UKR4425181701,Kuriachivka,Kuriachivska,Starobilskyi,Luhanska,850,village,38.860919,49.34228898
UKR4425482501,Lantrativka,Lantrativska,Troitskyi,Luhanska,1266,village,38.25180469,49.94788336
UKR4425181001,Kalmykivka,Kalmykivska,Starobilskyi,Luhanska,709,village,38.65633192,49.29710135
UKR4424085001,Travneve,Pervomaiska,Svativskyi,Luhanska,490,village,38.260322,49.44684073
UKR4420356500,Nyzhnii Naholchyk,Nyzhnonaholchytska,Antratsytivskyi,Luhanska,1650,urban type village,39.08549283,48.01489982
UKR4423355100,Novopskov,Novopskovska,Novopskovskyi,Luhanska,9882,urban type village,39.11834079,49.53209077
UKR4421456200,Novosvitlivka,Novosvitlivska,Sorokynskyi,Luhanska,3711,urban type village,39.51499392,48.48449231
UKR4423382801,Kozlove,Kozlivska,Novopskovskyi,Luhanska,293,village,39.1617242,49.8608911
UKR4420955100,Bilokurakyne,Bilokurakynska,Bilokurakynskyi,Luhanska,6737,urban type village,38.72097162,49.53287112
UKR4424510300,Zymohiria,Zymohirivska,Slovianoserbskyi,Luhanska,9949,city,38.94392739,48.5834001
UKR4423610600,Zorynsk,Zorynska,Perevalskyi,Luhanska,7331,city,38.62045867,48.4145656
UKR4423682201,Maloivanivka,Maloivanivska,Perevalskyi,Luhanska,988,village,38.64206753,48.38210424
UKR4424281101,Oleksandrivka,Oleksandrivska,Dovzhanskyi,Luhanska,480,village,39.75113068,48.07676574
UKR4421487001,Porichchia,Porichenska,Sorokynskyi,Luhanska,1306,village,39.79238149,48.26684869
UKR4412745300,Vedmezhe,Volodarska,Sverdlovska,Luhanska,2778,urban type village,39.58449629,48.12088418
UKR4424885001,Peredilske,Peredilska,Stanychno-Luhanskyi,Luhanska,1150,village,39.15037213,48.7527668
UKR4424855400,Petropavlivka,Petropavlivska,Stanychno-Luhanskyi,Luhanska,4999,urban type village,39.26625067,48.80392182
UKR4424084001,Mistky,Mistkivska,Svativskyi,Luhanska,2614,village,38.49750225,49.34030371
UKR4420355600,Ivanivka,Ivanivska,Antratsytivskyi,Luhanska,7274,urban type village,38.94571862,48.2339384
UKR4424583901,Metalist,Metalistska,Slovianoserbskyi,Luhanska,2195,village,39.28143043,48.62246127
UKR4423183401,Koliadivka,Koliadivska,Novoaidarskyi,Luhanska,905,village,39.200879,49.08011562
UKR4421610100,Kreminna,Kreminska,Kreminskyi,Luhanska,20324,city,38.20179338,49.03703496
UKR4411670300,Bokovo-Khrustalne,Vakhrushivska,Krasnolutska,Luhanska,11878,city,38.81926955,48.14233209
UKR4420386601,Rebrykove,Rebrykivska,Antratsytivskyi,Luhanska,965,village,39.28444511,48.20999988
UKR4424887001,Shyrokyi,Shyrokivska,Stanychno-Luhanskyi,Luhanska,1833,village,39.63887591,48.8296846
UKR4424082001,Kolomyichykha,Kolomyichyska,Svativskyi,Luhanska,527,village,37.96491325,49.45312207
UKR4423383201,Mozhniakivka,Mozhniakivska,Novopskovskyi,Luhanska,1683,village,39.06389366,49.65742453
UKR4424882501,Komyshne,Komyshnenska,Stanychno-Luhanskyi,Luhanska,732,village,39.672599,48.71135573
UKR4422283301,Kamianka,Kamianska,Lutuhynskyi,Luhanska,482,village,39.3930325,48.24239548
UKR4422287001,Fabrychne,Fabrychnenska,Lutuhynskyi,Luhanska,1504,village,39.32356001,48.48080704
UKR4421489301,Khriashchuvate,Khriashchuvatenska,Sorokynskyi,Luhanska,1216,village,39.423806,48.51479945
UKR4424083501,Miluvatka,Miluvatska,Svativskyi,Luhanska,2818,village,38.16947917,49.33639525
UKR4424886001,Sotenne,Sotenska,Stanychno-Luhanskyi,Luhanska,1103,village,39.347979,48.91880945
UKR4421687301,Chervonopopivka,Chervonopopivska,Kreminskyi,Luhanska,1046,village,38.1497635,49.12796489
UKR4412770600,Voznesenivka,Chervonopartyzanska,Sverdlovska,Luhanska,15659,city,39.787353,48.07422522
UKR4423386601,Rybiantseve,Rybiantsivska,Novopskovskyi,Luhanska,1306,village,39.02427996,49.47659191
UKR4424886501,Chuhynka,Chuhynska,Stanychno-Luhanskyi,Luhanska,1128,village,39.66151,48.92246491
UKR4420988801,Sharivka,Sharivska,Bilokurakynskyi,Luhanska,569,village,38.89940259,49.85401489
UKR4422885501,Novostriltsivka,Novostriltsivska,Milovskyi,Luhanska,924,village,39.9170325,49.32220894
UKR4425183501,Malokhatka,Malokhatska,Starobilskyi,Luhanska,598,village,38.80602536,49.11282925
UKR4424083001,Mankivka,Mankivska,Svativskyi,Luhanska,568,village,38.456169,49.55819766
UKR4423656400,Mykhailivka,Mykhailivska,Perevalskyi,Luhanska,2443,urban type village,38.91385283,48.46174626
UKR4423182301,Dmytrivka,Dmytrivska,Novoaidarskyi,Luhanska,1372,village,39.1577875,48.92597953
UKR4423382501,Kamianka,Kamianska,Novopskovskyi,Luhanska,1481,village,39.374931,49.64085669
UKR4420384401,Mykytivka,Mykytivska,Antratsytivskyi,Luhanska,285,village,38.89562573,48.33869647
UKR4420987201,Pavlivka,Pavlivska,Bilokurakynskyi,Luhanska,1160,village,38.70037975,49.6246656
UKR4423188001,Chabanivka,Chabanivska,Novoaidarskyi,Luhanska,585,village,38.75764596,49.03244855
UKR4423857700,Nyzhnie,Nyzhnenska,Popasnianskyi,Luhanska,2541,urban type village,38.63377131,48.77458052
UKR4423388201,Taniushivka,Taniushivska,Novopskovskyi,Luhanska,817,village,38.931461,49.76924693
UKR4421681901,Kudriashivka,Kudriashivska,Kreminskyi,Luhanska,1390,village,38.42962125,49.03482489
UKR4412500000,Rubizhne,Rubizhanska,Rubizhanska,Luhanska,60374,city,38.36644545,49.02065086
UKR4424584001,Stepove,Stepivska,Slovianoserbskyi,Luhanska,959,village,38.96667327,48.62680994
UKR4425487001,Tymonove,Tymonivska,Troitskyi,Luhanska,696,village,38.45044949,49.7368578
UKR4420681101,Baranykivka,Baranykivska,Bilovodskyi,Luhanska,1544,village,39.839666,49.15983498
UKR4421680201,Baranykivka,Baranykivska,Kreminskyi,Luhanska,2595,village,38.2979805,49.22488078
UKR4423180701,Bakhmutivka,Bakhmutivska,Novoaidarskyi,Luhanska,1182,village,39.05118749,48.8676585
UKR4422257400,Yurivka,Yurivska,Lutuhynskyi,Luhanska,2988,urban type village,38.97851497,48.48682797
UKR4420988001,Tymoshyne,Tymoshynska,Bilokurakynskyi,Luhanska,351,village,38.80710335,49.67321318
UKR4425187001,Shpotyne,Shpotynska,Starobilskyi,Luhanska,449,village,39.1942665,49.17426198
UKR4423188501,Shtormove,Shtormivska,Novoaidarskyi,Luhanska,908,village,38.91246737,49.09652446
UKR4421681301,Holubivka,Holubivska,Kreminskyi,Luhanska,461,village,38.4614485,49.22258254
UKR4424081001,Honcharivka,Honcharivska,Svativskyi,Luhanska,1359,village,38.15259042,49.47587677
UKR4421681601,Yepifanivka,Yepifanivska,Kreminskyi,Luhanska,1118,village,38.56905408,49.07837827
UKR4423856500,Kalynove,Kalynivska,Popasnianskyi,Luhanska,3096,urban type village,38.51254112,48.56435555
UKR4420689801,Shulikivka,Shulikivska,Bilovodskyi,Luhanska,401,village,39.488282,49.30619378
UKR4425487501,Topoli,Topolivska,Troitskyi,Luhanska,633,village,38.16432575,49.81546498
UKR4424082201,Kruhle,Kruhlivska,Svativskyi,Luhanska,481,village,38.4895085,49.46552525
UKR4425186001,Khvorostianivka,Khvorostianivska,Starobilskyi,Luhanska,483,village,38.88816425,49.14814234
UKR4420689501,Semykozivka,Semykozivska,Bilovodskyi,Luhanska,1926,village,39.56805,49.23302467
UKR4424084501,Oborotnivka,Oborotnivska,Svativskyi,Luhanska,581,village,38.04247871,49.59074098
UKR4424285501,Medvezhanka,Medvezhanska,Dovzhanskyi,Luhanska,1012,village,39.518285,48.17236953
UKR4424584301,Smile,Smilianska,Slovianoserbskyi,Luhanska,1032,village,38.91632974,48.67565995
UKR4420684401,Danylivka,Danylivska,Bilovodskyi,Luhanska,854,village,39.62494982,49.11261436
UKR4422588801,Sychanske,Sychanska,Markivskyi,Luhanska,502,village,39.39823396,49.43221245
UKR4420988201,Myrne,Chervonoarmiiska,Bilokurakynskyi,Luhanska,574,village,38.705212,49.78075664
UKR4410165900,Katerynivka,Yuvileina,Luhanska,Luhanska,16759,urban type village,39.18366782,48.55334283
UKR4425186501,Chmyrivka,Chmyrivska,Starobilskyi,Luhanska,4293,village,38.941515,49.29097287
UKR4425488001,Yamy,Yamenska,Troitskyi,Luhanska,302,village,38.37101461,49.76132671
UKR4421480801,Biloskeliuvate,Biloskeliuvatska,Sorokynskyi,Luhanska,692,village,39.6503892,48.44921652
UKR4420683301,Horodyshche,Horodyshchenska,Bilovodskyi,Luhanska,1777,village,39.639995,49.03870145
UKR4423657700,Yashchykove,Yashchykivska,Perevalskyi,Luhanska,1840,urban type village,38.74340648,48.40964657
UKR4420655100,Bilovodsk,Bilovodska,Bilovodskyi,Luhanska,8167,urban type village,39.59135772,49.20687007
UKR4423855300,Bilohorivka,Bilohorivska,Popasnianskyi,Luhanska,945,urban type village,38.24595348,48.92698799
UKR4423610100,Perevalsk,Perevalska,Perevalskyi,Luhanska,25941,city,38.81259177,48.43749217
UKR4410346500,Kripenskyi,Kripenska,Antratsytska,Luhanska,6870,urban type village,39.05366314,48.07541859
UKR4421488801,Samsonivka,Samsonivska,Sorokynskyi,Luhanska,1282,village,39.62786125,48.37128741
UKR4420987810,Solidarne,Solidarnenska,Bilokurakynskyi,Luhanska,701,village,38.61645474,49.78576479
UKR4410345900,Dubivskyi,Dubivska,Antratsytska,Luhanska,3984,urban type village,39.10923729,48.06089539
UKR4410300000,Antratsyt,Antratsytivska,Antratsytska,Luhanska,54640,city,39.09081204,48.12549675
UKR4424086501,Raihorodka,Raihorodska,Svativskyi,Luhanska,615,village,37.9597685,49.37909288
